dataset,run,best_accuracy,selected_features_count,selected_feature_indices,selected_feature_names,time_seconds
vehicule.csv,1,0.706855791962175,9,"[2, 3, 5, 7, 8, 9, 11, 12, 13]","[""'DISTANCE CIRCULARITY'"", ""'RADIUS RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""ELONGATEDNESS"", ""'PR.AXIS RECTANGULARITY'"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED VARIANCE_MINOR'"", ""'SCALED RADIUS OF GYRATION'"", ""'SKEWNESS ABOUT_MAJOR'""]",15.005626916885376
vehicule.csv,2,0.7139479905437353,11,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13]","[""CIRCULARITY"", ""'DISTANCE CIRCULARITY'"", ""'PR.AXIS ASPECT RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""ELONGATEDNESS"", ""'PR.AXIS RECTANGULARITY'"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED VARIANCE_MAJOR'"", ""'SCALED VARIANCE_MINOR'"", ""'SCALED RADIUS OF GYRATION'"", ""'SKEWNESS ABOUT_MAJOR'""]",16.959086894989014
vehicule.csv,3,0.710401891252955,5,"[0, 3, 4, 5, 7]","[""COMPACTNESS"", ""'RADIUS RATIO'"", ""'PR.AXIS ASPECT RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""ELONGATEDNESS""]",24.46151566505432
vehicule.csv,4,0.706855791962175,11,"[0, 1, 2, 4, 5, 7, 8, 9, 11, 13, 14]","[""COMPACTNESS"", ""CIRCULARITY"", ""'DISTANCE CIRCULARITY'"", ""'PR.AXIS ASPECT RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""ELONGATEDNESS"", ""'PR.AXIS RECTANGULARITY'"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED VARIANCE_MINOR'"", ""'SKEWNESS ABOUT_MAJOR'"", ""'SKEWNESS ABOUT_MINOR'""]",24.05157160758972
vehicule.csv,5,0.710401891252955,10,"[0, 2, 3, 4, 5, 9, 10, 11, 12, 14]","[""COMPACTNESS"", ""'DISTANCE CIRCULARITY'"", ""'RADIUS RATIO'"", ""'PR.AXIS ASPECT RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED VARIANCE_MAJOR'"", ""'SCALED VARIANCE_MINOR'"", ""'SCALED RADIUS OF GYRATION'"", ""'SKEWNESS ABOUT_MINOR'""]",23.745646953582764
vehicule.csv,6,0.7186761229314421,12,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 12, 15, 17]","[""COMPACTNESS"", ""CIRCULARITY"", ""'DISTANCE CIRCULARITY'"", ""'PR.AXIS ASPECT RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""'SCATTER RATIO'"", ""ELONGATEDNESS"", ""'PR.AXIS RECTANGULARITY'"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED RADIUS OF GYRATION'"", ""'KURTOSIS ABOUT_MAJOR'"", ""'HOLLOWS RATIO'""]",25.800342321395874
vehicule.csv,7,0.7092198581560284,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[""COMPACTNESS"", ""CIRCULARITY"", ""'DISTANCE CIRCULARITY'"", ""'RADIUS RATIO'"", ""'PR.AXIS ASPECT RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""'SCATTER RATIO'"", ""ELONGATEDNESS"", ""'PR.AXIS RECTANGULARITY'"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED VARIANCE_MAJOR'"", ""'SCALED VARIANCE_MINOR'"", ""'SCALED RADIUS OF GYRATION'"", ""'SKEWNESS ABOUT_MAJOR'""]",17.79905867576599
vehicule.csv,8,0.706855791962175,12,"[0, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""COMPACTNESS"", ""'DISTANCE CIRCULARITY'"", ""'PR.AXIS ASPECT RATIO'"", ""'SCATTER RATIO'"", ""ELONGATEDNESS"", ""'PR.AXIS RECTANGULARITY'"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED VARIANCE_MAJOR'"", ""'SCALED VARIANCE_MINOR'"", ""'SCALED RADIUS OF GYRATION'"", ""'SKEWNESS ABOUT_MAJOR'"", ""'SKEWNESS ABOUT_MINOR'""]",19.870598077774048
vehicule.csv,9,0.706855791962175,9,"[0, 1, 3, 5, 6, 9, 10, 11, 12]","[""COMPACTNESS"", ""CIRCULARITY"", ""'RADIUS RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""'SCATTER RATIO'"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED VARIANCE_MAJOR'"", ""'SCALED VARIANCE_MINOR'"", ""'SCALED RADIUS OF GYRATION'""]",24.875227212905884
vehicule.csv,10,0.7174940898345152,9,"[0, 1, 2, 3, 4, 5, 7, 9, 11]","[""COMPACTNESS"", ""CIRCULARITY"", ""'DISTANCE CIRCULARITY'"", ""'RADIUS RATIO'"", ""'PR.AXIS ASPECT RATIO'"", ""'MAX.LENGTH ASPECT RATIO'"", ""ELONGATEDNESS"", ""'MAX.LENGTH RECTANGULARITY'"", ""'SCALED VARIANCE_MINOR'""]",22.172484397888184
